epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,19502.3,2.10992,1.48651,0.00273,0.41758,0.32218,0.29374,0.16242,1.97325,1.45562,0.00354,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19882.5,2.10711,1.4878,0.00274,0.4345,0.32054,0.29787,0.16419,1.97435,1.45032,0.00355,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,20262.6,2.10712,1.48255,0.00273,0.43494,0.32847,0.29807,0.16517,1.97185,1.45153,0.00351,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20641.7,2.09939,1.47261,0.00271,0.42427,0.32275,0.2961,0.16395,1.98213,1.45907,0.00354,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21020.7,2.10424,1.48442,0.00272,0.4346,0.32641,0.30111,0.16728,1.96878,1.45012,0.00353,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21412.6,2.08631,1.46507,0.00271,0.43413,0.32411,0.29815,0.16462,1.96709,1.44216,0.00352,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21800.9,2.09642,1.46657,0.0027,0.43071,0.32658,0.29933,0.165,1.97614,1.45255,0.00353,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,22184,2.09651,1.46899,0.00271,0.42953,0.32927,0.30014,0.16565,1.96835,1.44385,0.0035,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22565,2.08554,1.45758,0.0027,0.43116,0.33017,0.303,0.16805,1.9681,1.43983,0.0035,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22945.8,2.08016,1.45198,0.0027,0.43609,0.32983,0.30186,0.16729,1.96391,1.44116,0.00352,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23325.4,2.08434,1.45519,0.00268,0.43099,0.33344,0.30467,0.16869,1.96299,1.43769,0.00352,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23707.6,2.08297,1.44885,0.00267,0.43121,0.33218,0.30378,0.16827,1.96125,1.43855,0.00351,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,24086.2,2.07181,1.44772,0.00268,0.43246,0.33263,0.30468,0.16996,1.96284,1.43349,0.0035,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24478.1,2.08517,1.44382,0.00266,0.43103,0.33114,0.30668,0.17165,1.96077,1.43615,0.00352,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24825.2,2.0702,1.448,0.00267,0.42502,0.33261,0.30637,0.17096,1.96047,1.43144,0.0035,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25220,2.07072,1.43762,0.00265,0.42849,0.33156,0.3051,0.16929,1.95897,1.43234,0.00347,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25613.4,2.06118,1.43007,0.00265,0.43539,0.33358,0.30808,0.17174,1.95474,1.42928,0.00347,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,26005.6,2.06974,1.43038,0.00264,0.4333,0.33673,0.30663,0.17054,1.95415,1.4282,0.00348,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26435,2.06329,1.43178,0.00265,0.44349,0.3358,0.31109,0.17328,1.9522,1.42839,0.00347,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26832.2,2.06356,1.42674,0.00264,0.44595,0.33533,0.31109,0.17361,1.94942,1.42768,0.00345,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27214.5,2.05532,1.42383,0.00263,0.44216,0.33616,0.3106,0.1728,1.9479,1.42503,0.00346,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27601.3,2.05448,1.42337,0.00264,0.44605,0.33814,0.31262,0.17355,1.95341,1.42506,0.00348,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27984.6,2.06273,1.41912,0.00262,0.44127,0.33724,0.3118,0.17327,1.95135,1.42429,0.00348,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28372.8,2.05217,1.41267,0.00261,0.43794,0.34333,0.31231,0.17421,1.95224,1.42016,0.00348,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,28759,2.0453,1.40727,0.00262,0.44156,0.34131,0.31403,0.17489,1.94749,1.41988,0.00348,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,29145.7,2.05013,1.41251,0.00261,0.44493,0.34121,0.31401,0.17486,1.94917,1.41672,0.00347,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,29523.2,2.04053,1.40447,0.00261,0.4478,0.33981,0.31534,0.17569,1.94914,1.41553,0.00347,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,29899.9,2.03686,1.40389,0.0026,0.4463,0.34151,0.31429,0.17516,1.94941,1.41492,0.00348,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,30276.4,2.03342,1.39799,0.0026,0.44049,0.34018,0.31345,0.17482,1.94751,1.41741,0.00349,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,30653,2.02811,1.39241,0.0026,0.44122,0.33718,0.31356,0.17558,1.94858,1.41227,0.00348,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,31029.8,2.038,1.39458,0.00258,0.44559,0.33638,0.31286,0.1757,1.94848,1.41525,0.00347,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,31406.3,2.02437,1.38375,0.00258,0.45007,0.33418,0.31253,0.17513,1.9468,1.41729,0.00346,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,31784.2,2.02179,1.38448,0.00257,0.44258,0.33524,0.31207,0.17401,1.9469,1.41971,0.00345,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,32160,2.02408,1.3842,0.00258,0.44629,0.33437,0.31312,0.17479,1.94388,1.4196,0.00344,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,32536.9,2.02038,1.38219,0.00256,0.4444,0.3337,0.31185,0.17455,1.94405,1.41671,0.00345,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,32913.1,2.01603,1.37822,0.00256,0.44478,0.33455,0.31181,0.17445,1.94751,1.41576,0.00347,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33289.9,2.02437,1.38405,0.00257,0.44111,0.33812,0.31198,0.17456,1.94525,1.41826,0.00346,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33674.7,2.02372,1.37618,0.00258,0.4474,0.33589,0.31277,0.17502,1.94505,1.41747,0.00347,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,34051.3,2.01431,1.37762,0.00257,0.4417,0.3365,0.31127,0.17409,1.94603,1.41408,0.00349,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,34428.7,2.0107,1.3698,0.00255,0.43641,0.34076,0.31317,0.17501,1.9434,1.41483,0.00346,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,34807.1,2.01782,1.37403,0.00255,0.44517,0.3385,0.31494,0.17561,1.94201,1.41287,0.00346,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,35183.3,2.00657,1.36663,0.00253,0.44324,0.34046,0.31434,0.17549,1.94167,1.41394,0.00345,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,35559.3,1.99917,1.36082,0.00255,0.44056,0.34094,0.3148,0.17525,1.93946,1.41131,0.00345,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,35945.5,1.95218,1.32361,0.00259,0.44568,0.33793,0.31289,0.17444,1.94386,1.41483,0.00346,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36318.6,1.94455,1.31756,0.00256,0.44078,0.3365,0.31095,0.17336,1.94651,1.4182,0.00347,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,36687.6,1.93278,1.30752,0.00255,0.44215,0.33749,0.31083,0.17301,1.94619,1.42081,0.00348,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,37056.3,1.94382,1.31073,0.00255,0.43969,0.33814,0.31123,0.17323,1.94844,1.42122,0.00348,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,37449.2,1.93503,1.30323,0.00255,0.43731,0.3402,0.3114,0.17365,1.95155,1.42067,0.00348,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,37816.3,1.92831,1.29948,0.00254,0.43512,0.34002,0.31125,0.17297,1.95105,1.42118,0.00348,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,38183.7,1.92246,1.29582,0.00254,0.43724,0.33941,0.31121,0.17285,1.95155,1.42062,0.00348,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,38550.9,1.93174,1.29435,0.00253,0.44347,0.33576,0.3117,0.17294,1.9514,1.42053,0.00348,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
